Frame,Processing Time
1,0.0829707
2,0.180652
3,0.120281
4,0.0974777
5,0.110087
6,0.0967412
7,0.0935035
8,0.13199
9,0.0954451
10,0.120174
11,0.0930582
12,0.163775
13,0.106042
14,0.105429
15,0.127015
16,0.165175
17,0.127709
18,0.127103
19,0.127966
20,0.134837
21,0.104415
22,0.112922
23,0.0785819
24,0.0999939
25,0.0726539
26,0.0908644
27,0.0847705
28,0.0860836
29,0.084328
30,0.0809316
31,0.0738068
32,0.0943471
33,0.0767251
34,0.0844929
35,0.0768436
36,0.0878371
37,0.084254
38,0.0838835
39,0.0843123
40,0.0909739
41,0.0759286
42,0.083213
43,0.0921895
44,0.0776797
45,0.0878642
46,0.0789841
47,0.0811305
48,0.0726186
49,0.0749229
50,0.0905289
51,0.0859406
52,0.0931418
53,0.0875106
54,0.0761006
55,0.0844348
56,0.0756844
57,0.0961339
58,0.077152
59,0.0752125
60,0.0748835
61,0.0753865
62,0.088819
63,0.0713751
64,0.0920471
65,0.0828814
66,0.0901616
67,0.0713558
68,0.0873194
69,0.0710934
70,0.0868755
71,0.0729888
72,0.0766325
73,0.0731788
74,0.0769437
75,0.0776604
76,0.0700593
77,0.0699783
78,0.0784551
79,0.0803797
80,0.0733731
81,0.074516
82,0.0954272
83,0.0826485
84,0.0729939
85,0.0751698
86,0.0820423
87,0.0738357
88,0.0729925
89,0.0811809
90,0.074214
91,0.080213
92,0.0750108
93,0.0730957
94,0.0735921
95,0.0713631
96,0.101138
97,0.0967237
98,0.0863176
99,0.0777439
100,0.0752819
101,0.0736441
102,0.0850857
103,0.0776586
104,0.0716434
105,0.0872419
106,0.0837281
107,0.0772907
108,0.0754956
109,0.0762421
110,0.0743346
111,0.0727849
112,0.0746447
113,0.0777115
114,0.0753415
115,0.0744448
116,0.0827767
117,0.0940539
118,0.071971
119,0.0830319
120,0.0721789
121,0.0714439
122,0.0831727
123,0.0728244
124,0.0726414
125,0.0759297
126,0.0783262
127,0.0756901
128,0.074924
129,0.0748573
130,0.0823293
131,0.0728974
132,0.0768421
133,0.0813797
134,0.07091
135,0.0719859
136,0.0806917
137,0.0834748
138,0.0820232
139,0.0822721
140,0.0818287
141,0.0740193
142,0.0750687
143,0.0746844
144,0.0713004
145,0.0770809
146,0.0751364
147,0.0739144
148,0.0768094
149,0.0828067
150,0.0827685
151,0.0758429
152,0.0745253
153,0.0732141
154,0.0740604
155,0.0725432
156,0.0725362
157,0.077879
158,0.0823031
159,0.0731168
160,0.0813394
161,0.0754226
162,0.0824628
163,0.0827998
164,0.0730068
165,0.0743445
166,0.0840144
167,0.0718053
168,0.0742193
169,0.0882463
170,0.0745066
171,0.0829534
172,0.0826465
173,0.0756261
174,0.0712835
175,0.0753159
176,0.0715147
177,0.0751517
178,0.0897316
179,0.0758284
180,0.0742496
181,0.0730968
182,0.0710178
183,0.0825088
184,0.0829751
185,0.0825755
186,0.0713407
187,0.0809757
188,0.0834041
189,0.0824447
190,0.0783477
191,0.0829486
192,0.0755167
193,0.0760715
194,0.0750086
195,0.0729269
196,0.0776836
197,0.0717299
198,0.0751387
199,0.0760791
200,0.0731975
201,0.0826958
202,0.0716626
203,0.0735042
204,0.0739674
205,0.0739962
206,0.0711065
207,0.0724506
208,0.0747719
209,0.073931
210,0.0753761
211,0.0731395
212,0.0720288
213,0.0724356
214,0.0826613
215,0.0753627
216,0.0737744
217,0.076173
218,0.0721373
219,0.0734077
220,0.0764991
221,0.0835045
222,0.0762856
223,0.0831288
224,0.0835144
225,0.0835391
226,0.0838682
227,0.0821344
228,0.0817475
229,0.0832704
230,0.0728827
231,0.0811952
232,0.0932517
233,0.0721461
234,0.0879451
235,0.0899751
236,0.0704434
237,0.0935025
238,0.0820157
239,0.0916279
240,0.0726475
241,0.0928831
242,0.0763068
243,0.0919154
244,0.0736749
245,0.0957207
246,0.0838042
247,0.0935058
248,0.0774022
249,0.0936004
250,0.086651
251,0.0933797
252,0.075368
253,0.088974
254,0.0743674
255,0.0919134
256,0.0911359
257,0.0745676
258,0.0925776
259,0.0758321
260,0.0774313
261,0.0821397
262,0.0841246
263,0.0704999
264,0.0762457
265,0.077418
266,0.0710764
267,0.088218
268,0.0732373
269,0.0703532
270,0.0703959
271,0.0749272
272,0.0807212
273,0.0892531
274,0.0736372
275,0.0805292
276,0.083876
277,0.0724909
278,0.0956556
279,0.0720762
280,0.0791377
281,0.075861
282,0.0868378
283,0.0923612
284,0.0730393
285,0.089614
286,0.0735191
287,0.0893176
288,0.0818043
289,0.0862276
290,0.072885
291,0.0773045
292,0.079676
293,0.0806162
294,0.0809901
295,0.0716916
296,0.0815562
297,0.0808264
298,0.0790359
299,0.084177
300,0.0727308
301,0.0791117
302,0.0837514
303,0.0727279
304,0.0881406
305,0.0782263
306,0.0730499
307,0.0874528
308,0.0696683
309,0.0766088
310,0.0792788
311,0.0697937
312,0.086142
313,0.0779802
314,0.0781808
315,0.0855349
316,0.0756403
317,0.0734975
318,0.0837792
319,0.0740286
320,0.0702718
321,0.0730688
322,0.0838272
323,0.0805836
324,0.0881306
325,0.0861976
326,0.0711186
327,0.0754073
328,0.0857225
329,0.0742918
330,0.0828866
331,0.0714107
332,0.075841
333,0.0886892
334,0.0851042
335,0.0765774
336,0.0697558
337,0.0893284
338,0.0758052
339,0.0707304
340,0.0802178
341,0.0702871
342,0.0787139
343,0.0706796
344,0.077591
345,0.0696077
346,0.085376
347,0.0859329
348,0.0806135
349,0.0802721
350,0.0802864
351,0.071992
352,0.0866585
353,0.0821251
354,0.0706229
355,0.0823949
356,0.0843363
357,0.0739692
358,0.085268
359,0.0804367
360,0.0721943
361,0.0711396
362,0.0900204
363,0.0723541
364,0.0876613
365,0.0861489
366,0.0807919
367,0.0866827
368,0.0886107
369,0.0718123
370,0.0790025
371,0.0925162
372,0.0786173
373,0.0919704
374,0.0875728
375,0.0817769
376,0.0726602
377,0.0710359
378,0.0798481
379,0.0706244
380,0.070409
381,0.0725157
382,0.0733469
383,0.075237
384,0.072037
385,0.0709377
386,0.0693538
387,0.0747106
388,0.068759
389,0.0791112
390,0.0698559
391,0.0721463
392,0.0691474
393,0.0762479
394,0.0716051
395,0.0695478
396,0.072251
397,0.0682375
398,0.0722201
399,0.0674935
400,0.0771674
401,0.0756631
402,0.0706834
403,0.0775344
404,0.0692489
405,0.0765247
406,0.0707407
407,0.0690255
408,0.0696595
409,0.0667512
410,0.0771907
411,0.0670816
412,0.0768767
413,0.0682366
414,0.0683777
415,0.0681599
416,0.0686854
417,0.0675645
418,0.0700964
419,0.0678235
420,0.0710464
421,0.0788789
422,0.0688001
423,0.0724004
424,0.079786
425,0.0718707
426,0.0776927
427,0.079555
428,0.0785316
429,0.0714911
430,0.0741298
431,0.0683111
432,0.0727015
433,0.0797502
434,0.0769465
435,0.0708132
436,0.0787654
437,0.0671466
438,0.0794218
439,0.0677778
440,0.0819225
441,0.0717417
442,0.0842588
443,0.0770414
444,0.0862477
