Frame,Processing time
1,0.0323663
2,0.0325748
3,0.0328462
4,0.0331249
5,0.0334081
6,0.033409
7,0.0334101
8,0.0336807
9,0.033681
10,0.0336822
11,0.0337003
12,0.0338639
13,0.0338761
14,0.033894
15,0.0339075
16,0.033939
17,0.0340156
18,0.034105
19,0.0341071
20,0.0341761
21,0.0342249
22,0.0343533
23,0.0343621
24,0.03438
25,0.0343819
26,0.0343836
27,0.0344892
28,0.0345202
29,0.0345306
30,0.0346403
31,0.0346671
32,0.0346734
33,0.0348582
34,0.034899
35,0.034901
36,0.0349543
37,0.0349861
38,0.0349924
39,0.0350294
40,0.0350896
41,0.0351526
42,0.0351618
43,0.0351784
44,0.0351801
45,0.0352345
46,0.0353623
47,0.0353696
48,0.0353706
49,0.0354019
50,0.0354135
51,0.0354288
52,0.0355711
53,0.0355765
54,0.0355913
55,0.0356214
56,0.0356991
57,0.0357181
58,0.0357213
59,0.0358071
60,0.0358302
61,0.0358657
62,0.0358681
63,0.0359673
64,0.0359708
65,0.0359745
66,0.0359754
67,0.0359764
68,0.0360154
69,0.0360318
70,0.0361479
71,0.0361676
72,0.0361706
73,0.0361806
74,0.0361922
75,0.0362392
76,0.0362396
77,0.0362433
78,0.0362676
79,0.0362891
80,0.0362958
81,0.0363502
82,0.0363567
83,0.0363715
84,0.036383
85,0.036403
86,0.0364357
87,0.036453
88,0.0364688
89,0.0365088
90,0.0365609
91,0.0365647
92,0.0365793
93,0.0366179
94,0.0366192
95,0.0366267
96,0.036642
97,0.0366529
98,0.0366543
99,0.0366585
100,0.036661
101,0.0366799
102,0.0367357
103,0.0367575
104,0.0367685
105,0.0367844
106,0.0368307
107,0.0368977
108,0.0369284
109,0.036929
110,0.036939
111,0.0369635
112,0.0369641
113,0.0369696
114,0.0369729
115,0.0370021
116,0.0370666
117,0.0370689
118,0.0371002
119,0.0371072
120,0.0371258
121,0.0371268
122,0.0371483
123,0.037169
124,0.0371802
125,0.0371806
126,0.0371872
127,0.0372101
128,0.0372171
129,0.0372187
130,0.0372267
131,0.0372315
132,0.0372366
133,0.0372439
134,0.0372497
135,0.0372588
136,0.0372716
137,0.0372786
138,0.0372873
139,0.0372997
140,0.0373123
141,0.0373198
142,0.0373219
143,0.0373254
144,0.0373422
145,0.0373566
146,0.0373595
147,0.0373652
148,0.0373666
149,0.0373704
150,0.0373837
151,0.037384
152,0.037395
153,0.0374063
154,0.0374198
155,0.0374279
156,0.037433
157,0.0375053
158,0.0375071
159,0.0375259
160,0.0375281
161,0.0375405
162,0.037542
163,0.0375699
164,0.0375769
165,0.0375865
166,0.0375898
167,0.0375951
168,0.0376364
169,0.0376538
170,0.0376538
171,0.0376693
172,0.0376833
173,0.0376895
174,0.0376937
175,0.0377115
176,0.0377159
177,0.0377174
178,0.0377524
179,0.0377647
180,0.0377818
181,0.0377862
182,0.0378038
183,0.0378252
184,0.0378381
185,0.0378409
186,0.0378523
187,0.0378611
188,0.0378811
189,0.0378887
190,0.0378892
191,0.037903
192,0.0379241
193,0.0379467
194,0.0379707
195,0.037984
196,0.0379944
197,0.0380008
198,0.0380019
199,0.0380058
200,0.0380142
201,0.0380224
202,0.0380286
203,0.0380446
204,0.0380488
205,0.0380555
206,0.0380811
207,0.038098
208,0.0381088
209,0.038111
210,0.0381249
211,0.0381272
212,0.0381293
213,0.038133
214,0.0381692
215,0.0381751
216,0.0381753
217,0.0381834
218,0.0381919
219,0.0382005
220,0.038236
221,0.0382379
222,0.0382388
223,0.0382496
224,0.038251
225,0.0382557
226,0.0382641
227,0.0382662
228,0.0382693
229,0.0382695
230,0.0382819
231,0.0382911
232,0.0382968
233,0.038303
234,0.0383092
235,0.038312
236,0.038315
237,0.0383233
238,0.0383307
239,0.0383447
240,0.0383587
241,0.0383636
242,0.0383658
243,0.0383661
244,0.0383732
245,0.0383746
246,0.0383887
247,0.0383998
248,0.0384121
249,0.0384166
250,0.0384267
251,0.0384275
252,0.0384302
253,0.0384493
254,0.0384496
255,0.0384649
256,0.0384653
257,0.0384744
258,0.0384881
259,0.0384994
260,0.0385073
261,0.0385195
262,0.0385268
263,0.0385346
264,0.0385489
265,0.038551
266,0.0385556
267,0.0385596
268,0.0385773
269,0.0385889
270,0.0386
271,0.0386015
272,0.0386041
273,0.0386056
274,0.038618
275,0.0386397
276,0.038644
277,0.038644
278,0.0386635
279,0.0386715
280,0.0386715
281,0.0386753
282,0.038676
283,0.038682
284,0.0386847
285,0.038712
286,0.0387269
287,0.0387283
288,0.0387294
289,0.0387315
290,0.0387372
291,0.0387449
292,0.0387488
293,0.0387505
294,0.0387518
295,0.0387551
296,0.0387582
297,0.0387594
298,0.0387602
299,0.0387648
300,0.0387948
301,0.0388021
302,0.0388115
303,0.0388124
304,0.0388183
305,0.0388231
306,0.038838
307,0.0388452
308,0.038854
309,0.0388608
310,0.0388844
311,0.0388852
312,0.0388959
313,0.0389005
314,0.0389012
315,0.0389023
316,0.0389068
317,0.0389074
318,0.0389174
319,0.0389229
320,0.0389237
321,0.0389287
322,0.0389321
323,0.038933
324,0.038935
325,0.0389382
326,0.0389443
327,0.0389454
328,0.0389508
329,0.0389557
330,0.0389631
331,0.0389688
332,0.0389702
333,0.0389846
334,0.0389847
335,0.0389914
336,0.039002
337,0.0390025
338,0.0390088
339,0.0390157
340,0.0390165
341,0.0390175
342,0.0390346
343,0.0390489
