Frame,Processing Time
1,0.340446
2,0.67301
3,0.627025
4,0.636491
5,0.586789
6,0.624136
7,0.653522
8,0.667249
9,0.601733
10,0.676251
11,0.589484
12,0.492715
13,0.358768
14,0.258908
15,0.859202
16,0.585911
17,0.622235
18,0.429566
19,0.40923
20,0.807305
21,0.776457
22,0.494838
23,0.283823
24,0.429673
25,0.424911
26,0.294498
27,0.456364
28,0.403973
29,0.436913
30,0.485459
31,0.273043
32,0.407548
33,0.434152
34,0.380766
35,0.432747
36,0.442862
37,0.491175
38,0.284068
39,0.479298
40,0.485469
41,0.450922
42,0.579102
43,0.495254
44,0.495637
45,0.35834
46,0.443072
47,0.424719
48,0.426662
49,0.421696
50,0.454639
51,0.472648
52,0.442166
53,0.433133
54,0.301154
55,0.379834
56,0.347263
57,0.360439
58,0.453334
59,0.394526
60,0.459757
61,0.388836
62,0.326282
63,0.371358
64,0.247327
65,0.396671
66,0.469011
67,0.359379
68,0.331747
69,0.314051
70,0.238263
71,0.271599
72,0.252823
73,0.220979
74,0.248538
75,0.234099
76,0.226217
77,0.248753
78,0.219413
79,0.217576
80,0.411031
81,0.374475
82,0.374209
83,0.27529
84,0.242255
85,0.212471
86,0.249315
87,0.261032
88,0.23152
89,0.236992
90,0.232058
91,0.222798
92,0.228954
93,0.270418
94,0.239838
95,0.248582
96,0.249713
97,0.226204
98,0.231622
99,0.220491
100,0.240898
101,0.242982
102,0.221503
103,0.22657
104,0.244852
105,0.28543
106,0.419275
107,0.400517
108,0.514502
109,0.442908
110,0.390611
111,0.506265
112,0.494982
113,0.515669
114,0.522471
115,0.484552
116,0.490188
117,0.524001
118,0.555692
119,0.548919
120,0.461458
121,0.465757
122,0.487317
123,0.427434
124,0.440636
125,0.486032
126,0.427176
127,0.381288
128,0.457524
129,0.392421
130,0.434792
131,0.379781
132,0.374315
133,0.255638
134,0.367318
135,0.379095
136,0.358227
137,0.355516
138,0.385848
139,0.308868
140,0.392445
141,0.403949
142,0.366297
143,0.374503
144,0.324561
145,0.281976
146,0.246943
147,0.275867
148,0.301866
149,0.288803
150,0.292877
151,0.264909
152,0.254861
153,0.306327
154,0.250114
155,0.289245
156,0.266849
157,0.251164
158,0.286437
159,0.26657
160,0.302903
161,0.283895
162,0.292606
163,0.295309
164,0.281527
165,0.277994
166,0.265349
167,0.270545
168,0.285604
169,0.277923
170,0.353436
171,0.253646
172,0.313228
173,0.270293
174,0.337907
175,0.792777
176,0.830334
177,1.26497
178,0.486972
179,0.39514
180,0.541599
181,0.265795
182,0.418497
183,0.385207
184,0.45818
185,0.392455
186,0.440722
187,0.427854
188,0.454333
189,0.410662
190,0.266731
191,0.42507
192,0.437528
193,0.431242
194,0.437272
195,0.249574
196,0.492013
197,0.46676
198,0.350734
199,0.451384
200,0.450115
201,0.349527
202,0.431734
203,0.400359
204,0.447111
205,0.458685
206,0.422629
207,0.384912
208,0.389667
209,0.386468
210,0.409715
211,0.24478
212,0.43231
213,0.354481
214,0.372174
215,0.299021
216,0.239308
217,0.273648
218,0.258034
219,0.269611
220,0.279687
221,0.25529
222,0.271212
223,0.240197
224,0.252441
225,0.252051
226,0.230371
227,0.281967
228,0.222525
229,0.225283
230,0.276289
231,0.229719
232,0.228281
233,0.259735
234,0.224255
235,0.293454
236,0.245429
237,0.21933
238,0.222575
239,0.258888
240,0.250212
241,0.278338
242,0.230859
243,0.264958
244,0.264133
245,0.318816
246,1.1664
247,0.506194
248,0.334257
249,0.434008
250,0.364875
251,1.14111
252,0.480218
253,0.306224
254,0.409801
255,0.389739
256,0.501207
257,0.245512
258,0.414059
259,0.309418
260,0.288229
261,0.41213
262,0.40005
263,0.408764
264,0.444077
265,0.53587
266,0.43953
267,0.255497
268,0.411845
269,0.368223
270,0.284962
271,0.225515
272,0.237752
273,0.265101
274,0.245744
275,0.247687
276,0.266831
277,0.268204
278,0.325174
279,0.237758
280,0.251335
281,0.317559
282,0.269847
283,0.290152
284,0.238136
285,0.261284
286,0.281184
287,0.27295
288,0.338759
289,0.276957
290,0.246209
291,0.279011
292,0.252295
293,0.216138
294,0.237361
295,0.255377
296,0.24255
297,0.267541
298,0.225536
299,0.269144
300,0.293808
301,0.444649
302,0.737418
303,0.675145
304,0.712135
305,1.15764
306,0.513194
307,0.366219
308,0.452194
309,0.370876
310,0.421703
311,0.365923
312,0.408048
313,0.356524
314,0.255822
315,0.410015
316,0.404807
317,0.274216
318,0.372923
319,0.358202
320,0.343244
321,0.365722
322,0.336164
323,0.29558
324,0.37037
325,0.348998
326,0.407659
327,0.232834
328,0.452209
329,0.309989
330,0.36352
331,0.215526
332,0.336155
333,0.33459
334,0.220125
335,0.374035
336,0.335713
337,0.296412
338,0.324145
339,0.352765
340,0.282388
341,0.351631
342,0.389618
343,0.363667
344,0.323123
345,0.375008
346,0.365123
347,0.366327
348,0.463857
349,0.399076
350,0.373371
351,0.351385
352,0.340234
353,0.336766
354,0.44725
355,0.33316
356,0.339471
357,0.37152
358,0.358202
359,0.231893
360,0.324047
361,0.367431
362,0.369678
363,0.375123
364,0.258328
